logX1,logY1,logX2,Y2
0.08967469390086297,443887.3077788878,0.08967469390086291,113634.99999999994
0.09916518428645707,388231.6244266061,0.09751640219788951,111816.99999999994
0.11726671442712973,296980.047740645,0.10254685134616644,111816.99999999994
0.12331599670596215,205459.99477196246,0.11924942968297199,108908.19999999995
0.14101712124928664,151991.10829529332,0.1434014022364517,105635.79999999996
0.16675826910286318,105152.15602297796,0.16125911492936545,101636.19999999995
0.1939194448624035,68034.19848864716,0.18440670123900899,97272.99999999996
0.2255045659687594,57543.993733715666,0.2180681468828491,95454.99999999997
0.2578741247764395,52043.15734195076,0.2711767348205616,94000.59999999998
0.2998760264786577,39810.71705534969,0.30494625271860276,89273.79999999997
0.34871909438214627,31490.664005998282,0.3606108876869141,86001.39999999997
0.3987752126894255,26635.113112034305,0.41934630005334006,87092.19999999997
0.4795404458438977,29450.38042071762,0.5302913744817618,85274.19999999998
0.5392574037882274,24909.42120333947,0.6270903202770082,81638.19999999998
0.6166639262212066,14095.838299704887,0.7668470264212017,81638.19999999998
0.7668470264212017,16116.574024549604,0.906826643884024,82728.99999999997
0.8917491795639587,20374.6852803971,0.9861251584144604,84910.59999999998
1.0369950874872536,23295.537063254757,1.127676333531031,88182.99999999997
1.146742793106256,27542.28703338169,1.3113494746573464,92182.59999999998
1.2470210553905772,37231.376317700866,1.3335214321633226,95818.59999999998
1.2681053646334677,52043.15734195076,1.4995842616337756,93636.99999999997
1.3113494746573477,63626.255284030296,1.6863268212282458,90364.59999999998
1.378996318667206,72747.51819559632,1.803299910630132,86728.59999999998
1.450132770590848,63626.255284030296,1.9609915765403476,83819.79999999999
1.6036038393891643,48671.27545242507,2.242477815568351,83819.79999999999
1.6863268212282476,30453.440440739218,2.438573906085046,83819.79999999999
1.8337896387779027,23295.537063254757,2.9324661637333693,82728.99999999999
2.09701695436831,22528.24044471501,3.242816171325908,81274.59999999999
2.6518178481652965,18426.99616483438,3.586011273059304,79093
2.859635498543267,22528.24044471501,4.240598783899435,75457
3.188899090867973,20374.685280397145,4.38520894445268,72548.2
3.586011273059304,15072.379420492194,4.768678660021781,69275.79999999999
3.770998074742835,11529.704635664188,5.185681332542606,67457.8
4.170091948561974,10084.08188614526,5.930048596817337,64185.40000000001
4.768678660021781,6976.480162117949,6.448608619278556,61276.600000000006
5.453188189384878,4990.9339009187015,7.251650975881478,60913.000000000015
6.132271283606337,3817.8440263705156,7.885780061257302,60913.000000000015
6.781264429022148,3019.951720402022,9.972095013150433,58731.40000000001
7.625732265316227,2824.2887162080556,9.806292753400887,56913.40000000001
9.32524378523144,2160.456142674172,10.844116503291348,53641.000000000015
10.312156955906985,1598.2192733572087,11.403517541458225,48550.60000000002
10.312156955906985,1222.5671641321205,12.823592497267821,43823.80000000002
11.403517541458225,817.9509718060258,14.420508754262448,39097.00000000003
12.194529497196053,565.8838149886503,15.681526977203443,34006.600000000035
13.040410480130593,418.6182731190778,17.634340540932264,30007.00000000006
15.164400390393453,378.6010535689852,20.165623314397017,27461.800000000032
16.216288280843706,236.88930541658402,23.846639397385957,26734.60000000005
17.634340540932246,169.46925063853172,29.161229125568642,27098.20000000004
19.500625577210492,134.05182387914755,33.91093823387816,22007.80000000006
21.929029787064103,106.03629518404344,38.77860955871149,18371.800000000047
26.370387091242808,125.3665914627885,43.60769251975768,14008.600000000064
31.18401558584068,109.64781961431896,47.42101810104602,12190.600000000064
36.8763198163627,81.11308307896923,51.56780438957836,10009.000000000058
39.434268252212256,50.75216175348932,55.144836621519886,5645.800000000047
42.882643876247386,36.30780547701033,63.06048136375317,1282.600000000064
48.222800401299224,27.773867777633836,67.43471014991184,-1262.5999999999185
55.14483662151983,17.96989148532603,78.41830949121714,-4534.999999999942
58.96999187789132,13.293408898565652,85.27569011250928,-6716.5999999999185
64.1266916609501,10.168870748648338,97.51640219789026,-5262.199999999924
72.11235998614612,7.522524941724387,109.66007629129375,-6716.5999999999185
78.41830949121706,6.579332246575709,115.31696502945802,-9261.79999999993
85.2756901125092,5.381571204921314,119.24942968297296,-11079.79999999993
99.16518428645757,6.153056586518518,,
115.3169650294579,4.867127545242527,,
117.26671442713038,3.2563214703718075,,
