X,Y
11.141620375362718,953867.8183614563
12.017446754198597,784699.6011396421
12.68488063850431,658337.6918474308
13.389382961641559,552324.1198001758
14.133012458100358,481771.0576082695
15.243987765659025,396329.08194264816
16.265507027536252,332476.96024444455
17.73479983245984,284340.3699280172
18.9232316203157,243217.51242475034
19.974204114081996,208061.07361173985
21.312701268295633,181467.0827363901
22.740892841451096,158272.28777213144
24.003893439847495,132785.3518263414
25.612425267988367,113581.20890756357
26.744226823744047,99081.56520104241
28.229567558496058,86425.0333185859
29.47701945524978,73939.28101305693
31.45231250974179,62027.00864994385
32.8421760567574,52043.416671658364
35.42385117759404,46278.987883541675
36.59150579252181,40374.75489269397
38.62375202112817,35909.32983865305
40.76886665031637,31322.32541398155
43.50084093476318,27318.76231688548
45.91682295070265,23829.104220030196
49.526276819862375,19988.19860636215
51.71482072263622,18128.48185516892
54.0000753963769,16124.955032634472
65.59963281082896,9156.172069207478
68.49845108732742,8467.445890868315
71.52536683998706,7386.50169505723
74.68604063867917,6197.603170439556
78.83400943991163,5405.930552406913
83.21235121350756,4535.401619919693
86.88946759651742,3956.4175768079967
90.7290740990469,3319.610165934995
94.73835108641276,2785.300449167866
100,2336.7773682358106
105.55387427926425,1960.480949310321
110.21825252050103,1677.2519056770466
112.62717539965348,1492.1576826314795
125.48492322523292,971.6334992423098
131.03004555723282,864.2503331858591
133.8938296164156,754.0589113371868
138.3072895555442,657.8567317959388
144.4190264899984,573.8755141920608
149.17942201896008,500.6609756187692
154.09673153732416,428.3700347189532
160.9061968131015,359.42149543836535
166.21004879512802,307.52426487681396
171.68872838730505,263.1205275374026
187.19768318833826,196.3707371823661
197.59440716631397,143.76962155220642
210.8354629886174,107.3169986396004
224.96381902251932,88.29242149742512
234.90486902830105,74.08126525773272
247.95119013000323,60.9541073540648
258.9080417285653,50.15765624359812
273.2874688650746,41.26974819698333
288.4655113068243,33.95677238128111
311.1413605706859,25.344756170047326
328.42176056757404,21.681239671420993
342.93457048952115,18.191523575575065
354.23851177594,15.56483122342163
369.8921523250716,13.577843153278595
382.0846797982313,11.6173247491279
398.9688299910101,10.134270718400042
407.68866650316374,8.842157013631919
430.33118249155837,7.41828494732611
439.73647251757995,6.472457870799342
459.1682295070265,5.537387293679959
474.3035093930039,4.64653847687925
528.4509644359136,2.9101534508282105
551.8029749320337,2.4897260149002474
569.9917169459964,2.048922308203291
601.6483403073962,1.621506399183971
628.2349099294777,1.3342982794356415
655.9963281082896,1.0768035554425035
